"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"UpdateClientHistory","UpdateClientHistory","","","",0,*,"","","","null {[]} {[]}
","NG-Imm-C6 UpdateClientHistory[information only]","IMMZ.C6 - A logical model for tracking client immunization history updates.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"UpdateClientHistory.clientCompletedPrimarySeries","UpdateClientHistory.clientCompletedPrimarySeries","","","",1,1,"","","","boolean {[]} {[]}
","Client has completed vaccine primary series","Indicates if the client has completed the primary vaccination series of a product/antigen. If the client has not yet completed their primary series, it means they may be expected to receive more doses to complete their vaccination regimen for the respective product/antigen.","","","","","","","","","",,,,,"",,,,"UpdateClientHistory.clientCompletedPrimarySeries",1,1,"",""
"UpdateClientHistory.hivStatus","UpdateClientHistory.hivStatus","","","",1,1,"","","","CodeableConcept {[]} {[]}
","HIV Status","The current HIV status of the client.","","","","","","","","","",,,,,"#NGHivStatusVS
",,,,"UpdateClientHistory.hivStatus",1,1,"",""
"UpdateClientHistory.bcgDoseDate","UpdateClientHistory.bcgDoseDate","","","",0,1,"","","","date {[]} {[]}
","Date BCG dose was administered","The date the BCG vaccine dose was given to the client","","","","","","","","","",,,,,"#IMMZ.C1.DE6
",,,,"UpdateClientHistory.bcgDoseDate",0,1,"",""
"UpdateClientHistory.hepB0DoseDate","UpdateClientHistory.hepB0DoseDate","","","",0,1,"","","","date {[]} {[]}
","Date HepB 0 dose was administered","The date the HepB 0 vaccine dose was given to the client","","","","","","","","","",,,,,"#IMMZ.C1.DE7
",,,,"UpdateClientHistory.hepB0DoseDate",0,1,"",""
"UpdateClientHistory.polioBopv0DoseDate","UpdateClientHistory.polioBopv0DoseDate","","","",0,1,"","","","date {[]} {[]}
","Date Polio (bOPV0) dose was administered","The date the Polio (bOPV0) vaccine dose was given to the client","","","","","","","","","",,,,,"#IMMZ.C1.DE8
",,,,"UpdateClientHistory.polioBopv0DoseDate",0,1,"",""
"UpdateClientHistory.pentavalent1DoseDate","UpdateClientHistory.pentavalent1DoseDate","","","",0,1,"","","","date {[]} {[]}
","Date Pentavalent 1 dose was administered","The date the Pentavalent 1 vaccine dose was given to the client","","","","","","","","","",,,,,"#IMMZ.C1.DE9
",,,,"UpdateClientHistory.pentavalent1DoseDate",0,1,"",""
"UpdateClientHistory.opv1DoseDate","UpdateClientHistory.opv1DoseDate","","","",0,1,"","","","date {[]} {[]}
","Date OPV 1 dose was administered","The date the OPV 1 vaccine dose was given to the client","","","","","","","","","",,,,,"#IMMZ.C1.DE10
",,,,"UpdateClientHistory.opv1DoseDate",0,1,"",""
"UpdateClientHistory.pcv1DoseDate","UpdateClientHistory.pcv1DoseDate","","","",0,1,"","","","date {[]} {[]}
","Date PCV 1 dose was administered","The date the PCV 1 vaccine dose was given to the client","","","","","","","","","",,,,,"#IMMZ.C1.DE11
",,,,"UpdateClientHistory.pcv1DoseDate",0,1,"",""
"UpdateClientHistory.rotavirus1DoseDate","UpdateClientHistory.rotavirus1DoseDate","","","",0,1,"","","","date {[]} {[]}
","Date Rotavirus 1 dose was administered","The date the Rotavirus 1 vaccine dose was given to the client","","","","","","","","","",,,,,"#IMMZ.C1.DE12
",,,,"UpdateClientHistory.rotavirus1DoseDate",0,1,"",""
"UpdateClientHistory.ipv1DoseDate","UpdateClientHistory.ipv1DoseDate","","","",0,1,"","","","date {[]} {[]}
","Date IPV 1 dose was administered","The date the IPV 1 vaccine dose was given to the client","","","","","","","","","",,,,,"#IMMZ.C1.DE13
",,,,"UpdateClientHistory.ipv1DoseDate",0,1,"",""
