"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"register-facility-model","register-facility-model","","","",0,*,"","","","null {[]} {[]}
","A - Register Facility [information only]","IMMZ.A - A logical model representing a health facility being registered in the immunization system.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"register-facility-model.identifier","register-facility-model.identifier","","","",1,1,"","","","string {[]} {[]}
","Unique identifier for health facilities including the master facility list.","Unique identifier for health facilities including the master facility list.","","","","","","","","","",,,,,"",,,,"register-facility-model.identifier",1,1,"",""
"register-facility-model.facilityName","register-facility-model.facilityName","","","",1,1,"","","","string {[]} {[]}
","The full name of the Organization/facility.","The full name of the Organization/facility.","","","","","","","","","",,,,,"",,,,"register-facility-model.facilityName",1,1,"",""
"register-facility-model.alternateName","register-facility-model.alternateName","","","",0,1,"","","","string {[]} {[]}
","The other names the Organization/facility is known for.","The other names the Organization/facility is known for.","","","","","","","","","",,,,,"",,,,"register-facility-model.alternateName",0,1,"",""
"register-facility-model.dateOfRecordCreation","register-facility-model.dateOfRecordCreation","","","",0,1,"","","","date {[]} {[]}
","Date of capture for administrative purposes.","Date of capture for administrative purposes.","","","","","","","","","",,,,,"",,,,"register-facility-model.dateOfRecordCreation",0,1,"",""
"register-facility-model.facilityType","register-facility-model.facilityType","","","",0,1,"","","","CodeableConcept {[]} {[]}
","The type of health facility.","The type of health facility.","","","","","","","","","",,,,,"#NGFacilityTypeVS
",,,,"register-facility-model.facilityType",0,1,"",""
"register-facility-model.facilityStatus","register-facility-model.facilityStatus","","","",0,1,"","","","string {[]} {[]}
","The Status of the health facility.","The Status of the health facility.","","","","","","","","","",,,,,"",,,,"register-facility-model.facilityStatus",0,1,"",""
"register-facility-model.facilityContactType","register-facility-model.facilityContactType","","","",0,1,"","","","string {[]} {[]}
","The type of health facility contact Eg. email, fax, phone.","The type of health facility contact Eg. email, fax, phone.","","","","","","","","","",,,,,"",,,,"register-facility-model.facilityContactType",0,1,"",""
"register-facility-model.facilityContactValue","register-facility-model.facilityContactValue","","","",0,1,"","","","string {[]} {[]}
","The actual value of the contact (eg. the phone number +23435565656).","The actual value of the contact (eg. the phone number +23435565656).","","","","","","","","","",,,,,"",,,,"register-facility-model.facilityContactValue",0,1,"",""
"register-facility-model.facilityaddress","register-facility-model.facilityaddress","","","",0,1,"","","","BackboneElement {[]} {[]}
","Office address.","Office address.","","","","","","","","","",,,,,"",,,,"register-facility-model.facilityaddress",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"register-facility-model.facilityaddress.id","register-facility-model.facilityaddress.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
