URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/address-type,4.0.1,active,"2.16.840.1.113883.4.642.4.70",AddressType,AddressType,"The type of an address (physical / postal).","ValueSet/address-type"
http://hl7.org/fhir/address-use,4.0.1,active,"2.16.840.1.113883.4.642.4.68",AddressUse,AddressUse,"The use of an address.","ValueSet/address-use"
http://hl7.org/fhir/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.4.2",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","ValueSet/administrative-gender"
http://hl7.org/fhir/allergy-intolerance-category,4.0.1,draft,"2.16.840.1.113883.4.642.4.134",AllergyIntoleranceCategory,AllergyIntoleranceCategory,"Category of an identified substance associated with allergies or intolerances.","ValueSet/allergy-intolerance-category"
http://hl7.org/fhir/allergy-intolerance-criticality,4.0.1,draft,"2.16.840.1.113883.4.642.4.130",AllergyIntoleranceCriticality,AllergyIntoleranceCriticality,"Estimate of the potential clinical harm, or seriousness, of a reaction to an identified substance.","ValueSet/allergy-intolerance-criticality"
http://hl7.org/fhir/allergy-intolerance-type,4.0.1,draft,"2.16.840.1.113883.4.642.4.132",AllergyIntoleranceType,AllergyIntoleranceType,"Identification of the underlying physiological mechanism for a Reaction Risk.","ValueSet/allergy-intolerance-type"
http://hl7.org/fhir/bundle-type,4.0.1,active,"2.16.840.1.113883.4.642.4.621",BundleType,BundleType,"Indicates the purpose of a bundle - how it is intended to be used.","ValueSet/bundle-type"
http://hl7.org/fhir/contact-point-system,4.0.1,active,"2.16.840.1.113883.4.642.4.72",ContactPointSystem,ContactPointSystem,"Telecommunications form for contact point.","ValueSet/contact-point-system"
http://hl7.org/fhir/contact-point-use,4.0.1,active,"2.16.840.1.113883.4.642.4.74",ContactPointUse,ContactPointUse,"Use of contact point.","ValueSet/contact-point-use"
http://hl7.org/fhir/days-of-week,4.0.1,active,"2.16.840.1.113883.4.642.4.513",DaysOfWeek,DaysOfWeek,"The days of the week.","ValueSet/days-of-week"
http://hl7.org/fhir/encounter-location-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.263",EncounterLocationStatus,EncounterLocationStatus,"The status of the location.","ValueSet/encounter-location-status"
http://hl7.org/fhir/encounter-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.247",EncounterStatus,EncounterStatus,"Current state of the encounter.","ValueSet/encounter-status"
http://hl7.org/fhir/event-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.110",EventStatus,EventStatus,"Codes identifying the lifecycle stage of an event.","ValueSet/immunization-status"
http://hl7.org/fhir/http-verb,4.0.1,active,"2.16.840.1.113883.4.642.4.625",HTTPVerb,HTTPVerb,"HTTP verbs (in the HTTP command line). See [HTTP rfc](https://tools.ietf.org/html/rfc7231) for details.","ValueSet/http-verb"
http://hl7.org/fhir/identifier-use,4.0.1,active,"2.16.840.1.113883.4.642.4.58",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","ValueSet/identifier-use"
http://hl7.org/fhir/link-type,4.0.1,active,"2.16.840.1.113883.4.642.4.424",LinkType,LinkType,"The type of link between this patient resource and another patient resource.","ValueSet/link-type"
http://hl7.org/fhir/location-mode,4.0.1,draft,"2.16.840.1.113883.4.642.4.331",LocationMode,LocationMode,"Indicates whether a resource instance represents a specific location or a class of locations.","ValueSet/location-mode"
http://hl7.org/fhir/location-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.333",LocationStatus,LocationStatus,"Indicates whether the location is still in use.","ValueSet/location-status"
http://hl7.org/fhir/measure-report-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.777",MeasureReportStatus,MeasureReportStatus,"The status of the measure report.","ValueSet/measure-report-status"
http://hl7.org/fhir/measure-report-type,4.0.1,draft,"2.16.840.1.113883.4.642.4.779",MeasureReportType,MeasureReportType,"The type of the measure report.","ValueSet/measure-report-type"
http://hl7.org/fhir/name-use,4.0.1,active,"2.16.840.1.113883.4.642.4.66",NameUse,NameUse,"The use of a human name.","ValueSet/name-use"
http://hl7.org/fhir/publication-status,4.0.1,active,"2.16.840.1.113883.4.642.4.4",PublicationStatus,PublicationStatus,"The lifecycle status of an artifact.","ValueSet/publication-status"
http://hl7.org/fhir/quantity-comparator,4.0.1,active,"2.16.840.1.113883.4.642.4.60",QuantityComparator,QuantityComparator,"How the Quantity should be understood and represented.","ValueSet/quantity-comparator"
http://hl7.org/fhir/reaction-event-severity,4.0.1,draft,"2.16.840.1.113883.4.642.4.136",AllergyIntoleranceSeverity,AllergyIntoleranceSeverity,"Clinical assessment of the severity of a reaction event as a whole, potentially considering multiple different manifestations.","ValueSet/reaction-event-severity"
http://hl7.org/fhir/resource-types,4.0.1,active,,ResourceType,ResourceType,"One of the resource types defined as part of this version of FHIR.","ValueSet/subject-type"
http://hl7.org/fhir/search-entry-mode,4.0.1,active,"2.16.840.1.113883.4.642.4.623",SearchEntryMode,SearchEntryMode,"Why an entry is in the result set - whether it's included as a match or because of an _include requirement, or to convey information or warning information about the search process.","ValueSet/search-entry-mode"
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/allergyintolerance-code,ValueSet/immunization-reason,ValueSet/clinical-findings,ValueSet/encounter-reason,ValueSet/immunization-status-reason,ValueSet/route-codes,ValueSet/substance-code"
http://terminology.hl7.org/CodeSystem/admit-source,1.0.1,active,"2.16.840.1.113883.4.642.1.1092",AdmitSource,Admit source,"This value set defines a set of codes that can be used to indicate from where the patient came in.","ValueSet/encounter-admit-source"
http://terminology.hl7.org/CodeSystem/allergyintolerance-verification,1.0.1,active,"2.16.840.1.113883.4.642.1.1371",AllergyIntoleranceVerificationStatus,AllergyIntolerance Verification Status,"The verification status to support or decline the clinical status of the allergy or intolerance.","ValueSet/allergyintolerance-verification"
http://terminology.hl7.org/CodeSystem/common-tags,1.0.1,active,"2.16.840.1.113883.4.642.1.1067",CommonTags,Common Tags,"Common Tag Codes defined by FHIR project","ValueSet/common-tags"
http://terminology.hl7.org/CodeSystem/composite-measure-scoring,1.0.1,active,"2.16.840.1.113883.4.642.1.1235",CompositeMeasureScoring,CompositeMeasureScoring,"The composite scoring method of the measure.","ValueSet/composite-measure-scoring"
http://terminology.hl7.org/CodeSystem/contactentity-type,1.0.0,draft,"2.16.840.1.113883.4.642.1.1129",ContactEntityType,Contact entity type,"This example value set defines a set of codes that can be used to indicate the purpose for which you would contact a contact party.","ValueSet/contactentity-type"
http://terminology.hl7.org/CodeSystem/definition-topic,1.0.1,active,"2.16.840.1.113883.4.642.1.1244",DefinitionTopic,DefinitionTopic,"High-level categorization of the definition, used for searching, sorting, and filtering.","ValueSet/definition-topic"
http://terminology.hl7.org/CodeSystem/diagnosis-role,1.1.1,active,"2.16.840.1.113883.4.642.1.1054",DiagnosisRole,Diagnosis Role,"This value set defines a set of codes that can be used to express the role of a diagnosis on the Encounter or EpisodeOfCare record.","ValueSet/diagnosis-role"
http://terminology.hl7.org/CodeSystem/diet,1.0.1,active,"2.16.840.1.113883.4.642.1.1091",Diet,Diet,"This value set defines a set of codes that can be used to indicate dietary preferences or restrictions a patient may have.","ValueSet/encounter-diet"
http://terminology.hl7.org/CodeSystem/discharge-disposition,1.0.1,active,"2.16.840.1.113883.4.642.1.1093",DischargeDisposition,Discharge disposition,"This value set defines a set of codes that can be used to where the patient left the hospital.","ValueSet/encounter-discharge-disposition"
http://terminology.hl7.org/CodeSystem/encounter-special-arrangements,1.0.1,active,"2.16.840.1.113883.4.642.1.1090",SpecialArrangements,Special arrangements,"This value set defines a set of codes that can be used to indicate the kinds of special arrangements in place for a patients visit.","ValueSet/encounter-special-arrangements"
http://terminology.hl7.org/CodeSystem/encounter-type,1.0.1,active,"2.16.840.1.113883.4.642.1.1088",EncounterType,Encounter type,"This example value set defines a set of codes that can be used to indicate the type of encounter: a specific code indicating type of service provided.","ValueSet/encounter-type"
http://terminology.hl7.org/CodeSystem/immunization-funding-source,1.0.1,active,"2.16.840.1.113883.4.642.1.1100",ImmunizationFundingSource,Immunization Funding Source,"The value set to instantiate this attribute should be drawn from a terminologically robust code system that consists of or contains concepts to support describing the source of the vaccine administered. This value set is provided as a suggestive example.","ValueSet/immunization-funding-source"
