"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"register-client-model","register-client-model","","","",0,*,"","","","null {[]} {[]}
","NG-Imm-C5 RegisterClient[information only]","IMMZ.C5 - A logical model representing a client being registered in the immunization system.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"register-client-model.identifier","register-client-model.identifier","","","",1,1,"","","","string {[]} {[]}
","Unique identifier for clients including the national identification number, medical records number, immunization information system ID, and others.","Unique identifier for clients including the national identification number, medical records number, immunization information system ID, and others.","","","","","","","","","",,,,,"",,,,"register-client-model.identifier",1,1,"",""
"register-client-model.name","register-client-model.name","","","",1,1,"","","","BackboneElement {[]} {[]}
","The full name of the client.","The full name of the client.","","","","","","","","","",,,,,"",,,,"register-client-model.name",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"register-client-model.name.id","register-client-model.name.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"register-client-model.name.extension","register-client-model.name.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"register-client-model.name.modifierExtension","register-client-model.name.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"register-client-model.name.family","register-client-model.name.family","","","",1,1,"","","","string {[]} {[]}
","Client's family name or last name.","Client's family name or last name.","","","","","","","","","",,,,,"",,,,"register-client-model.name.family",1,1,"",""
"register-client-model.name.given","register-client-model.name.given","","","",1,1,"","","","string {[]} {[]}
","Client's first name or given name.","Client's first name or given name.","","","","","","","","","",,,,,"",,,,"register-client-model.name.given",1,1,"",""
"register-client-model.sex","register-client-model.sex","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Sex","Documentation of a specific instance of sex information for the client.","","","","","","","","","",,,,,"#NGGenderVS
",,,,"register-client-model.sex",1,1,"",""
"register-client-model.dateOfBirth","register-client-model.dateOfBirth","","","",1,1,"","","","date {[]} {[]}
","Client's date of birth (DOB) if known. If unknown, use assigned DOB for administrative purposes.","Client's date of birth (DOB) if known. If unknown, use assigned DOB for administrative purposes.","","","","","","","","","",,,,,"",,,,"register-client-model.dateOfBirth",1,1,"",""
"register-client-model.ageInWeeks","register-client-model.ageInWeeks","","","",0,1,"","","","integer {[]} {[]}
","The client's calculated age (number of weeks) based on the date of birth and the visit date.","The client's calculated age (number of weeks) based on the date of birth and the visit date.","","","","","","","","","",,,,,"",,,,"register-client-model.ageInWeeks",0,1,"",""
"register-client-model.ageInMonths","register-client-model.ageInMonths","","","",0,1,"","","","integer {[]} {[]}
","The client's calculated age (number of months) based on the date of birth and the visit date.","The client's calculated age (number of months) based on the date of birth and the visit date.","","","","","","","","","",,,,,"",,,,"register-client-model.ageInMonths",0,1,"",""
"register-client-model.ageInYears","register-client-model.ageInYears","","","",0,1,"","","","integer {[]} {[]}
","The client's calculated age (number of years) based on the date of birth and the visit date.","The client's calculated age (number of years) based on the date of birth and the visit date.","","","","","","","","","",,,,,"",,,,"register-client-model.ageInYears",0,1,"",""
"register-client-model.weightAtBirth","register-client-model.weightAtBirth","","","",0,1,"","","","Quantity {[]} {[]}
","Client's weight at birth in Kg.","Client's weight at birth in Kg.","","","","","","","","","",,,,,"",,,,"register-client-model.weightAtBirth",0,1,"",""
"register-client-model.address","register-client-model.address","","","",0,1,"","","","BackboneElement {[]} {[]}
","Client's residential address.","Client's residential address.","","","","","","","","","",,,,,"",,,,"register-client-model.address",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
