URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/address-type,4.0.1,active,"2.16.840.1.113883.4.642.4.70",AddressType,AddressType,"The type of an address (physical / postal).","ValueSet/address-type"
http://hl7.org/fhir/address-use,4.0.1,active,"2.16.840.1.113883.4.642.4.68",AddressUse,AddressUse,"The use of an address.","ValueSet/address-use"
http://hl7.org/fhir/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.4.2",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","ValueSet/administrative-gender"
http://hl7.org/fhir/allergy-intolerance-category,4.0.1,draft,"2.16.840.1.113883.4.642.4.134",AllergyIntoleranceCategory,AllergyIntoleranceCategory,"Category of an identified substance associated with allergies or intolerances.","ValueSet/allergy-intolerance-category"
http://hl7.org/fhir/allergy-intolerance-criticality,4.0.1,draft,"2.16.840.1.113883.4.642.4.130",AllergyIntoleranceCriticality,AllergyIntoleranceCriticality,"Estimate of the potential clinical harm, or seriousness, of a reaction to an identified substance.","ValueSet/allergy-intolerance-criticality"
http://hl7.org/fhir/allergy-intolerance-type,4.0.1,draft,"2.16.840.1.113883.4.642.4.132",AllergyIntoleranceType,AllergyIntoleranceType,"Identification of the underlying physiological mechanism for a Reaction Risk.","ValueSet/allergy-intolerance-type"
http://hl7.org/fhir/contact-point-system,4.0.1,active,"2.16.840.1.113883.4.642.4.72",ContactPointSystem,ContactPointSystem,"Telecommunications form for contact point.","ValueSet/contact-point-system"
http://hl7.org/fhir/contact-point-use,4.0.1,active,"2.16.840.1.113883.4.642.4.74",ContactPointUse,ContactPointUse,"Use of contact point.","ValueSet/contact-point-use"
http://hl7.org/fhir/identifier-use,4.0.1,active,"2.16.840.1.113883.4.642.4.58",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","ValueSet/identifier-use"
http://hl7.org/fhir/link-type,4.0.1,active,"2.16.840.1.113883.4.642.4.424",LinkType,LinkType,"The type of link between this patient resource and another patient resource.","ValueSet/link-type"
http://hl7.org/fhir/measure-report-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.777",MeasureReportStatus,MeasureReportStatus,"The status of the measure report.","ValueSet/measure-report-status"
http://hl7.org/fhir/measure-report-type,4.0.1,draft,"2.16.840.1.113883.4.642.4.779",MeasureReportType,MeasureReportType,"The type of the measure report.","ValueSet/measure-report-type"
http://hl7.org/fhir/name-use,4.0.1,active,"2.16.840.1.113883.4.642.4.66",NameUse,NameUse,"The use of a human name.","ValueSet/name-use"
http://hl7.org/fhir/publication-status,4.0.1,active,"2.16.840.1.113883.4.642.4.4",PublicationStatus,PublicationStatus,"The lifecycle status of an artifact.","ValueSet/publication-status"
http://hl7.org/fhir/quantity-comparator,4.0.1,active,"2.16.840.1.113883.4.642.4.60",QuantityComparator,QuantityComparator,"How the Quantity should be understood and represented.","ValueSet/quantity-comparator"
http://hl7.org/fhir/resource-types,4.0.1,active,,ResourceType,ResourceType,"One of the resource types defined as part of this version of FHIR.","ValueSet/subject-type,ValueSet/resource-types"
http://hl7.org/fhir/sid/cvx,4.0.1,active,"2.16.840.1.113883.12.292",CVX,Vaccine Administered Code Set (CVX),"The CDC's National Center of Immunization and Respiratory Diseases (NCIRD - see [https://www.cdc.gov/ncird/](https://www.cdc.gov/ncird/)) developed and maintains the CVX (vaccine administered) code set. It includes both active and inactive vaccines available in the US. CVX codes for inactive vaccines allow transmission of historical immunization records. When a MVX (manufacturer) code is paired with a CVX (vaccine administered) code, the specific trade named vaccine may be indicated. These codes should be used for immunization messages using either HL7 Version 2.3.1 or HL7 Version 2.5.1. CVX is the underlying Master Code System for V2 table 0292 (Vaccines Administered). The machine readable name for CVX in PHIN VADS is PH_VaccinesAdministeredCVX_CDC_NIP. The version of the CVX code set for certification can be found on the archive page:[https://www2a.cdc.gov/vaccines/iis/iisstandards/mu3versioned_codes.asp](https://www2a.cdc.gov/vaccines/iis/iisstandards/mu3versioned_codes.asp)     The Status column indicates if the vaccine is currently available in the United States.    *  Active: A currently available administrable vaccine     *  Inactive: An administrable vaccine formulation that is no longer available for patient administration, but can be found in historical patient records OR A historical record of a vaccine administered where the exact formulation is unknown     *  Pending: A vaccine that is expected to become active in the future     *  Non-US: A vaccine that available outside the US only     *  Never Active: A vaccine that was never available and is not in the pipeline of new vaccines     The Last Updated column indicates the last time this particular vaccine code was updated in this table.    Questions regarding this table should be directed to the IIS Technical Assistance Team via iisinfo@cdc.gov (or use mailing address via [https://www2a.cdc.gov/vaccines/iis/iisstandards/vaccines.asp?rpt=cvx#addr](https://www2a.cdc.gov/vaccines/iis/iisstandards/vaccines.asp?rpt=cvx#addr))     HL7 Implementers should note that 'Status' IS NOT CONCEPT STATUS as all codes are ACTIVE in this code system.    The current code system is available via [https://www2a.cdc.gov/vaccines/iis/iisstandards/vaccines.asp?rpt=cvx](https://www2a.cdc.gov/vaccines/iis/iisstandards/vaccines.asp?rpt=cvx)","ValueSet/vaccine-code"
http://nphcda.gov.ng/ig/fhir/CodeSystem/ng-administrative-ward,0.4.0,active,,NGWardsCS,NG Administrative Wards,"This CodeSystem defines ward codes and names mapped to their respective Local Government Areas (LGAs) in Nigeria.","ValueSet/nigeria-wards"
http://nphcda.gov.ng/ig/fhir/CodeSystem/ng-allergy-severity,0.4.0,active,,NigeriaAllergySeverityCS,NG Reaction Severity,"This CodeSystem captures the assessed severity of an allergic reaction following immunization.","ValueSet/nigeria-allergy-severity"
http://nphcda.gov.ng/ig/fhir/CodeSystem/ng-clinical-status,0.4.0,active,,NGClinicalStatusCS,NG Adverse Event Clinical Status,"A classification system that represents the current clinical status of an individual who experienced an Adverse Event Following Immunization (AEFI), based on medical observation, investigation, or follow-up assessment.","ValueSet/nigeria-clinical-status"
http://nphcda.gov.ng/ig/fhir/CodeSystem/ng-contraindication,0.4.0,active,,NGImmunizationContraindicationCS, NG Vaccine contraindications,"A set of standardized codes used to represent clinical conditions, diagnoses, or circumstances that serve as contraindications to the administration of one or more vaccines.","ValueSet/nigeria-vaccine-contraindication"
http://nphcda.gov.ng/ig/fhir/CodeSystem/ng-facility-typeCS,0.4.0,active,,NGFacilityTypeCS,NG Facility Type,"A standardized classification system used to describe the type or level of health facility within a healthcare delivery system, based on the scope of services provided, staffing, infrastructure, and administrative role.","ValueSet/nigeria-facility-types"
http://nphcda.gov.ng/ig/fhir/CodeSystem/ng-gender,0.4.0,active,,NGGenderCS,NG Gender or Sex,"Codes for the administrative gender or sex of a person, used in demographic and administrative contexts.","ValueSet/nigeria-gender"
http://nphcda.gov.ng/ig/fhir/CodeSystem/ng-hiv-statusCS,0.4.0,active,,NGHivStatusCS,NG Client HIV status,"This CodeSystem defines list of options for HIV status of a Client","ValueSet/nigeria-hiv-status"
http://nphcda.gov.ng/ig/fhir/CodeSystem/ng-immunization-site,0.4.0,active,,NGImmunizationSiteCS,NG Vaccine Site,"This CodeSystem captures the specific anatomical location on the patient’s body where a vaccine was administered.","ValueSet/nigeria-vaccine-site"
http://nphcda.gov.ng/ig/fhir/CodeSystem/ng-lgas,0.4.0,active,,NGLGAsCS,NG LGAs in Nigeria,"This CodeSystem defines LGA codes and names mapped to their respective States in Nigeria.","ValueSet/nigeria-lgas"
http://nphcda.gov.ng/ig/fhir/CodeSystem/ng-pregnancy-statusCS,0.4.0,active,,NGPregnancyStatusCS,NG Client Pregnancy status,"This CodeSystem defines list of options for Pregnancy status of a Client","ValueSet/nigeria-pregnancy-status"
http://nphcda.gov.ng/ig/fhir/CodeSystem/ng-session-type,0.4.0,active,,NGImmunizationSessionTypeCS,NG Immunization Session types,"A standardized classification of vaccine types administered for the prevention of specific diseases, identified by the antigen or disease target (e.g., BCG, HepB, OPV, Pentavalent, MR).","ValueSet/nigeria-session-type"
http://nphcda.gov.ng/ig/fhir/CodeSystem/ng-sibling-health-statusCS,0.4.0,active,,NGSiblingHealthStatusCS,NG Sibling Health Status,"This CodeSystem defines list of relationships that a part of this IG","ValueSet/nigeria-sibling-health-status"
http://nphcda.gov.ng/ig/fhir/CodeSystem/ng-states,0.4.0,active,,NGStatesCS,NG States in Nigeria,"This CodeSystem defines ward codes and names mapped to their respective States in Nigeria.","ValueSet/nigeria-states"
http://nphcda.gov.ng/ig/fhir/CodeSystem/ng-vaccine-libraryCS,0.4.0,active,,NGVaccineLibraryCS,NG Vaccine Library with SNOMED CT codes,"CodeSystem for IMMZ.Z Vaccine Library Data Elements supported by this IG using SNOMED CT codes","ValueSet/nigeria-vaccine-library"
